Haplotype	Cluster
CHM1.pat	1
CHM13.pat	1
CPC_P1_16.mat	2
CPC_P1_16.pat	3
CPC_P1_18.pat	2
CPC_P1_21.mat	2
CPC_P1_23.pat	3
CPC_P1_26.pat	4
CPC_P1_28.mat	4
CPC_P1_29.mat	3
CPC_P1_30.mat	1
CPC_P1_32.mat	3
CPC_P1_38.pat	3
CPC_P1_5.mat	4
CPC_P1_5.pat	2
CPC_P1_50.pat	4
CPC_P1_52.mat	4
CPC_P1_52.pat	3
CPC_P1_54.pat	1
CPC_P1_55.mat	3
CPC_P1_55.pat	3
CPC_P1_57.pat	4
CPC_P1_7.pat	2
CPC_P1_9.pat	4
HG00096.mat	5
HG00096.pat	5
HG00171.mat	1
HG00171.pat	1
HG002.mat	1
HG002.pat	1
HG00268.mat	5
HG00268.pat	1
HG00358.mat	6
HG00358.pat	1
HG00438.mat	4
HG00438.pat	3
HG005.mat	2
HG00512.mat	3
HG00512.pat	3
HG00513.mat	3
HG00513.pat	3
HG00621.mat	1
HG00673.mat	1
HG00673.pat	2
HG00731.mat	5
HG00731.pat	7
HG00735.mat	1
HG00735.pat	1
HG00741.mat	1
HG00864.mat	3
HG00864.pat	3
HG01071.pat	1
HG01099.mat	1
HG01099.pat	1
HG01106.mat	1
HG01106.pat	1
HG01114.mat	5
HG01114.pat	6
HG01123.mat	1
HG01175.mat	3
HG01243.mat	1
HG01352.mat	5
HG01352.pat	4
HG01358.mat	1
HG01358.pat	4
HG01361.pat	1
HG01505.mat	1
HG01505.pat	5
HG01573.mat	2
HG01573.pat	3
HG01596.mat	4
HG01596.pat	4
HG01890.mat	7
HG01890.pat	8
HG01928.mat	1
HG01952.mat	4
HG01952.pat	1
HG01978.pat	4
HG02004.mat	1
HG02004.pat	4
HG02011.mat	7
HG02011.pat	2
HG02018.mat	5
HG02018.pat	1
HG02055.pat	6
HG02059.mat	5
HG02059.pat	7
HG02071.mat	5
HG02071.pat	3
HG02080.mat	1
HG02080.pat	3
HG02106.mat	4
HG02106.pat	5
HG02109.mat	1
HG02145.pat	1
HG02148.mat	1
HG02257.mat	2
HG02282.mat	2
HG02282.pat	9
HG02293.mat	1
HG02293.pat	2
HG02300.mat	4
HG02300.pat	4
HG02486.pat	10
HG02492.mat	1
HG02492.pat	4
HG02554.mat	8
HG02554.pat	2
HG02559.mat	9
HG02559.pat	11
HG02572.pat	1
HG02587.mat	12
HG02587.pat	7
HG02615.pat	10
HG02622.mat	6
HG02630.mat	2
HG02630.pat	12
HG02647.mat	7
HG02647.pat	8
HG02666.mat	2
HG02666.pat	9
HG02717.mat	1
HG02769.mat	2
HG02769.pat	2
HG02809.mat	9
HG02809.pat	2
HG02818.mat	7
HG02818.pat	8
HG02886.pat	11
HG02953.mat	9
HG02953.pat	2
HG03009.mat	1
HG03009.pat	4
HG03098.pat	6
HG03248.mat	2
HG03248.pat	12
HG03371.mat	7
HG03371.pat	9
HG03452.mat	11
HG03452.pat	2
HG03456.mat	3
HG03456.pat	6
HG03486.mat	11
HG03486.pat	7
HG03492.mat	5
HG03492.pat	1
HG03516.mat	1
HG03516.pat	12
HG03520.mat	7
HG03520.pat	7
HG03540.mat	2
HG03579.mat	8
HG03683.mat	4
HG03683.pat	6
HG03710.mat	3
HG03710.pat	3
HG03807.mat	4
HG03807.pat	4
HG03927.mat	5
HG03927.pat	4
HG04036.mat	5
HG04036.pat	1
HG04217.mat	5
HG04217.pat	4
HG04228.mat	3
NA12329.mat	5
NA12329.pat	7
NA18534.mat	5
NA18534.pat	3
NA18939.mat	4
NA18939.pat	3
NA18989.mat	7
NA18989.pat	2
NA19036.mat	6
NA19036.pat	2
NA19129.mat	10
NA19129.pat	10
NA19238.mat	3
NA19238.pat	6
NA19239.mat	8
NA19239.pat	7
NA19317.mat	6
NA19317.pat	6
NA19331.mat	2
NA19347.mat	2
NA19347.pat	12
NA19384.mat	12
NA19384.pat	8
NA19434.mat	12
NA19434.pat	1
NA19650.mat	1
NA19650.pat	4
NA19705.mat	1
NA19705.pat	8
NA19836.mat	3
NA19836.pat	10
NA19983.mat	6
NA19983.pat	7
NA20129.mat	1
NA20355.mat	11
NA20355.pat	7
NA20509.mat	1
NA20509.pat	5
NA20847.mat	4
NA20847.pat	4
NA21309.pat	12
NA21487.mat	1
NA21487.pat	6
