Haplotype	Cluster
CHM1.pat	1
CHM13.pat	1
CPC_P1_13.pat	1
CPC_P1_23.pat	1
CPC_P1_36.mat	1
CPC_P1_38.pat	1
CPC_P1_52.pat	1
CPC_P1_55.pat	1
CPC_P1_56.mat	1
CPC_P1_56.pat	1
HG00096.mat	1
HG00171.mat	2
HG00171.pat	2
HG002.mat	1
HG00268.mat	1
HG00268.pat	2
HG00358.mat	1
HG00438.pat	2
HG00512.mat	2
HG00513.mat	1
HG00621.mat	2
HG00731.pat	2
HG00732.mat	2
HG00735.mat	2
HG00864.pat	1
HG01099.mat	2
HG01109.mat	1
HG01114.mat	1
HG01114.pat	1
HG01243.mat	3
HG01258.mat	1
HG01352.mat	1
HG01352.pat	2
HG01361.mat	1
HG01361.pat	1
HG01457.pat	2
HG01505.mat	2
HG01573.mat	1
HG01573.pat	2
HG01596.mat	1
HG01890.pat	2
HG01891.mat	1
HG01928.mat	1
HG01952.mat	1
HG01978.mat	1
HG02004.mat	1
HG02011.mat	2
HG02018.mat	1
HG02018.pat	2
HG02059.mat	1
HG02059.pat	1
HG02071.mat	1
HG02080.pat	1
HG02106.mat	2
HG02106.pat	1
HG02109.mat	2
HG02282.mat	2
HG02282.pat	2
HG02293.mat	1
HG02293.pat	1
HG02300.mat	1
HG02300.pat	1
HG02486.mat	2
HG02492.mat	1
HG02554.pat	3
HG02559.mat	1
HG02559.pat	2
HG02587.mat	2
HG02587.pat	3
HG02615.mat	2
HG02615.pat	1
HG02630.pat	3
HG02647.mat	2
HG02666.pat	3
HG02717.mat	2
HG02769.mat	1
HG02769.pat	3
HG02809.mat	2
HG02809.pat	3
HG02818.mat	2
HG02818.pat	3
HG02886.mat	3
HG02953.mat	3
HG03009.mat	1
HG03065.mat	2
HG03098.mat	3
HG03248.mat	3
HG03371.mat	2
HG03452.mat	3
HG03452.pat	1
HG03453.pat	1
HG03456.mat	3
HG03516.mat	2
HG03516.pat	3
HG03520.mat	3
HG03520.pat	2
HG03579.mat	2
HG03683.mat	2
HG03683.pat	1
HG03710.mat	2
HG03732.mat	1
HG03807.mat	1
HG03807.pat	1
HG03927.mat	2
HG03927.pat	1
HG04036.mat	2
HG04036.pat	1
HG04217.mat	1
HG04217.pat	2
HG04228.mat	1
NA12329.mat	1
NA12329.pat	2
NA18534.mat	1
NA18939.mat	2
NA18939.pat	1
NA18989.mat	1
NA19036.mat	3
NA19036.pat	2
NA19129.mat	2
NA19129.pat	2
NA19238.mat	3
NA19238.pat	2
NA19239.mat	3
NA19317.mat	1
NA19331.mat	2
NA19347.mat	2
NA19384.mat	2
NA19434.mat	2
NA19434.pat	2
NA19650.mat	2
NA19705.mat	2
NA19836.mat	1
NA19836.pat	1
NA19983.mat	2
NA19983.pat	2
NA20355.mat	3
NA20355.pat	1
NA20509.mat	2
NA20847.mat	1
NA20847.pat	1
NA21487.mat	1
NA21487.pat	2
