Haplotype	12-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1.pat	3196179	64888	57307	1	EUR	3318373
CHM13.pat	3008946	61826	36661	1	EUR	3107432
CPC_P1_13.pat	3245498	41589	48366	1	EAS	3335452
CPC_P1_23.pat	3644562	43137	19119	1	EAS	3706817
CPC_P1_36.mat	2468066	51203	14917	1	EAS	2534185
CPC_P1_38.pat	2914378	41105	20673	1	EAS	2976155
CPC_P1_52.pat	3486181	41297	17135	1	EAS	3544612
CPC_P1_55.pat	2823865	48266	19411	1	EAS	2891541
CPC_P1_56.mat	2540039	40739	23345	1	EAS	2604122
CPC_P1_56.pat	2700461	42628	23345	1	EAS	2766433
HG00096.mat	3263992	70033	25518	1	EUR	3359542
HG00171.mat	2881501	57541	10798	3	EUR	2949839
HG00171.pat	3278487	57540	8810	3	EUR	3344836
HG002.mat	3017198	61801	33226	1	EUR	3112224
HG00268.mat	2848567	52738	30995	1	EUR	2932299
HG00268.pat	3535592	54435	10957	3	EUR	3600983
HG00358.mat	3802987	54451	21196	1	EUR	3878633
HG00438.pat	2560687	23112	8969	3	EAS	2592767
HG00512.mat	3876970	48638	25146	3	EAS	3950753
HG00513.mat	3336057	33893	10999	1	EAS	3380948
HG00621.mat	3356671	51041	21050	3	EAS	3428761
HG00731.pat	3432617	51699	8927	3	AMR	3493242
HG00732.mat	3786467	48463	8969	3	AMR	3843898
HG00735.mat	1910735	23261	19089	3	AMR	1953084
HG00864.pat	3128291	47740	163620	1	EAS	3339650
HG01099.mat	2120499	25366	19391	3	AMR	2165255
HG01109.mat	2441380	39891	6996	1	AMR	2488266
HG01114.mat	2982235	51880	35105	1	AMR	3069219
HG01114.pat	2780632	55984	28942	1	AMR	2865557
HG01243.mat	2848558	62578	53491	2	AMR	2964626
HG01258.mat	3377108	56997	34674	1	AMR	3468778
HG01352.mat	2821895	67453	41205	1	AMR	2930552
HG01352.pat	3914011	38555	8969	3	AMR	3961534
HG01361.mat	3183770	36124	36679	1	AMR	3256572
HG01361.pat	3118004	61115	40195	1	AMR	3219313
HG01457.pat	3591118	51500	11158	3	AMR	3653775
HG01505.mat	3443063	60100	12987	3	EUR	3516149
