Haplotype	6-mer	8-mer	10-mer	12-mer	14-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1.pat	3489714	92607	166697	124656	28556	131390	6111	6	EUR	4039730
CHM13.pat	3006374	32677	115723	26554	26195	74286	18487	4	EUR	3300295
CPC_P1_23.pat	3381462	110299	132717	98100	30942	135151	4415	6	EAS	3893085
CPC_P1_28.mat	2967496	100774	137808	106284	26182	124586	5432	6	EAS	3468561
CPC_P1_29.mat	3351580	23135	105489	20421	26197	51589	53197	7	EAS	3631607
CPC_P1_3.mat	711265	40845	71471	12254	4764	55175	7131	6	EAS	902904
CPC_P1_3.pat	2628404	68078	114010	18374	52392	34570	18878	2	EAS	2934705
CPC_P1_36.pat	3631866	103490	158242	116480	28564	149433	7212	6	EAS	4195286
CPC_P1_38.mat	3251698	110309	141210	91970	26182	130724	6450	6	EAS	3758542
CPC_P1_52.mat	2756026	28592	110605	30634	23811	58262	23200	4	EAS	3031129
CPC_P1_52.pat	2674236	32672	79965	18367	26196	48353	50072	7	EAS	2929860
CPC_P1_9.pat	3723869	103491	166745	110356	26185	135148	7132	6	EAS	4272925
HG00096.mat	3064605	34040	125933	26553	30956	71231	20176	4	EUR	3373493
HG00096.pat	3500747	36751	68070	10210	42873	71328	67674	7	EUR	3797652
HG00171.mat	3589615	31308	102084	22464	28579	58401	62160	7	EUR	3894610
HG00171.pat	1049506	9526	57846	6126	16669	31827	8323	7	EUR	1179822
HG002.mat	3083979	40852	149754	30636	42862	89077	20809	4	EUR	3457968
HG002.pat	2249197	23145	114026	18379	30958	49578	19169	4	EUR	2504451
HG00268.mat	2116325	34033	146343	30630	40482	63710	17534	4	EUR	2449056
HG00268.pat	3899536	36764	173583	22462	33332	65082	18767	4	EUR	4249525
HG00358.mat	3390618	32684	139544	26551	26192	73628	14540	4	EUR	3703756
HG00358.pat	2505639	40840	91873	32651	33339	53104	32089	7	EUR	2789534
HG00438.mat	3401085	85782	136151	18375	47636	40538	25567	2	EAS	3755133
HG00438.pat	1728059	66721	37437	8176	2382	36451	4414	6	EAS	1883639
HG00512.mat	3117857	73534	74892	112386	2382	99462	6112	6	EAS	3486624
HG00512.pat	3428127	29946	64654	14294	14293	45975	58363	7	EAS	3655651
HG00513.mat	3947715	99413	83370	94011	14284	122931	5434	6	EAS	4367157
HG00513.pat	4294928	36753	91873	20415	26193	66235	109972	7	EAS	4646368
HG00731.mat	3234290	25869	173582	32677	23815	58436	20355	4	AMR	3569023
HG00731.pat	2887814	25869	154843	28596	28578	71899	26204	4	AMR	3223802
HG00741.pat	4121406	115757	95270	96061	14283	119195	5434	6	AMR	4567405
HG00864.mat	4107985	93959	238251	24504	21430	70652	20629	4	EAS	4577409
HG00864.pat	1445002	47652	69774	10214	2382	57211	9606	6	EAS	1641840
HG01071.mat	1722919	35389	170169	24503	40482	46317	17750	4	AMR	2057528
HG01071.pat	2951174	27231	158264	26552	26193	69176	31700	4	AMR	3290289
HG01099.mat	3648174	80338	251864	38800	21431	93294	21320	4	AMR	4155220
HG01099.pat	1575669	19050	45934	12249	7144	34044	9174	7	AMR	1703263
HG01109.pat	1620307	8172	49358	8163	9524	13954	21464	5	AMR	1730941
HG01114.mat	3312933	39488	168479	28591	42863	86693	19281	4	AMR	3698327
HG01114.pat	3083026	31312	154858	18381	26193	93029	20332	4	AMR	3427130
HG01175.pat	3436563	95319	125899	114452	19039	159534	6113	6	AMR	3956918
HG01258.mat	2284929	66728	91856	83756	9520	84112	4415	6	AMR	2625315
HG01352.mat	3270050	25868	156559	40840	26194	63361	30700	4	AMR	3613571
HG01352.pat	3730926	24502	88466	10211	19054	65197	56250	7	AMR	3994605
HG01358.pat	2944883	27234	93579	18375	33343	47155	30892	7	AMR	3195460
HG01457.mat	2937739	43562	91886	10214	40482	60597	69831	7	AMR	3254310
HG01457.pat	1074957	23136	188900	22460	28572	48829	14513	4	AMR	1401366
HG01505.mat	3568374	100779	175204	141011	28558	160851	6110	6	EUR	4180886
HG01505.pat	3068690	29953	168471	24506	30958	71730	17745	4	EUR	3412052
HG01573.mat	3773766	99416	139494	153248	11902	153214	6110	6	AMR	4337149
HG01573.pat	2976811	27225	166770	49012	26194	70858	95135	4	AMR	3412004
HG01596.mat	2768275	36758	81669	18359	40478	61615	50331	7	EAS	3057484
HG01596.pat	3157568	103497	136107	112405	38090	121865	5432	6	EAS	3674963
HG01890.mat	2172542	40836	204201	22462	26195	70630	18234	4	AFR	2555099
HG01890.pat	1934451	35385	66378	4085	33343	15657	9800	4	AFR	2099098
HG01928.pat	2776418	36764	144650	18384	38096	72899	17081	4	AMR	3104291
HG02004.mat	3279236	32678	166774	42880	33338	65757	32296	4	AMR	3652958
HG02004.pat	3342630	49015	168476	24507	40482	61484	22550	4	AMR	3709143
HG02011.mat	2635502	42198	122513	6121	21434	55232	15699	5	AFR	2898698
HG02011.pat	3579673	113004	146298	120565	11902	143681	8203	6	AFR	4123325
HG02018.mat	2497541	66724	40837	46999	2382	91259	6098	6	EAS	2751839
HG02018.pat	3016470	38116	110588	24492	21434	56526	65500	7	EAS	3333125
HG02055.pat	2474622	23138	54446	12251	11908	58351	33647	7	AFR	2668362
HG02071.mat	3011522	34032	171871	24504	40483	73418	20929	4	EAS	3376758
HG02071.pat	3099433	55830	217823	22462	14288	67935	12899	4	EAS	3490669
HG02080.pat	2283891	93973	129288	116493	28562	95308	10204	6	EAS	2757718
HG02106.mat	3005378	36758	166769	26549	38099	63373	20620	4	AMR	3357545
HG02106.pat	3346631	29951	165075	24513	33339	80381	37680	4	AMR	3717569
HG02257.mat	1856775	42214	32329	44923	11909	68409	4414	6	AFR	2060972
HG02282.mat	3201593	44927	163362	36757	45244	83472	11009	4	AFR	3586363
HG02282.pat	1938539	29950	69761	6125	7146	36802	57528	4	AFR	2145850
HG02293.mat	3480594	36764	142941	36750	26193	76308	29548	4	AMR	3829097
HG02293.pat	2426976	13610	98698	18381	35721	67631	24482	4	AMR	2685498
HG02300.mat	1212815	10884	78259	18380	19053	36591	11728	7	AMR	1387709
HG02492.mat	2920562	31313	159963	28593	35720	66604	21025	4	SAS	3263779
HG02492.pat	2240843	110303	193973	122641	28560	120859	353272	5	SAS	3170450
HG02554.mat	2828618	104857	100350	157361	9523	74904	7475	6	AFR	3283087
HG02554.pat	2813528	36749	62941	24499	57161	37022	11880	7	AFR	3043779
HG02572.mat	2026676	27212	37423	24501	33342	47172	7641	7	AFR	2203966
HG02587.mat	1434664	24498	20425	6123	0	36808	11421	4	AFR	1533938
HG02587.pat	2896163	39473	61228	20415	47630	41929	80039	7	AFR	3186876
HG02615.mat	3102881	32676	49316	18374	45253	43159	6017	7	AFR	3297675
HG02615.pat	1304971	23146	47642	6127	16667	26920	8001	4	AFR	1433473
HG02647.mat	1302927	21785	54449	6127	16667	27260	9252	4	AFR	1438466
HG02647.pat	1471596	40830	125913	6123	26202	46367	11689	5	AFR	1728719
HG02666.mat	2397436	157950	267026	48990	23821	341572	7231	4	AFR	3244025
HG02666.pat	576091	359473	428735	990252	154774	416641	68942	1	AFR	2994907
HG02717.pat	2126585	29946	166756	22459	28574	68593	15937	4	AFR	2458849
HG02769.mat	3589691	28596	144621	18382	40485	76151	21142	4	AFR	3919067
HG02769.pat	2685570	98045	195705	20419	30960	56708	15989	4	AFR	3103395
HG02809.mat	2166431	38111	188889	26544	26192	75394	16959	4	AFR	2538519
HG02809.pat	2363637	76242	211004	26545	28572	74370	16884	4	AFR	2797253
HG02818.mat	2510853	42200	107187	4081	21431	63409	16097	5	AFR	2765257
HG02818.pat	1464407	40841	39129	18378	4766	40858	3904	6	AFR	1612282
HG02953.mat	2070348	38112	178673	20419	26194	71996	14696	4	AFR	2420437
HG02953.pat	1971245	38108	59569	4085	30961	18035	9800	4	AFR	2131802
HG03009.mat	2501573	28594	134452	30635	23815	74785	19126	4	SAS	2812979
HG03009.pat	3353938	91234	148041	14295	35720	55202	13700	2	SAS	3712129
HG03065.mat	2206378	13613	20421	4086	14284	23526	5700	4	AFR	2288007
