Haplotype	2-mer	4-mer	6-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1.pat	384233	893810	225333	17498	20931	19	EUR	1541804
CHM13.pat	452749	1574833	274180	20250	33489	19	EUR	2355500
CPC_P1_13.mat	501483	1444908	141764	8334	35742	14	EAS	2132230
CPC_P1_16.mat	402013	1642080	110972	17846	33467	2	EAS	2206377
CPC_P1_2.mat	423078	1540891	53980	14281	53481	5	EAS	2085710
CPC_P1_30.mat	420668	1675362	115045	20568	32017	2	EAS	2263659
CPC_P1_48.mat	372834	1509497	140493	25982	22460	1	EAS	2071265
CPC_P1_53.mat	487577	1750814	110992	23124	32121	2	EAS	2404627
CPC_P1_54.mat	518995	1571366	255767	24140	27017	19	EAS	2397284
HG00096.mat	439007	1588478	98744	18513	64078	5	EUR	2208819
HG00096.pat	477429	1531325	83471	17145	37634	5	EUR	2147003
HG00171.pat	252645	1076035	37693	14421	50775	5	EUR	1431568
HG002.mat	389043	1449104	67223	14597	32030	5	EUR	1951996
HG002.pat	362539	1377100	64188	12067	68289	5	EUR	1884182
HG00268.mat	444216	1814756	96717	26505	41969	4	EUR	2424162
HG00268.pat	269246	1116065	51904	9515	63516	5	EUR	1510245
HG00438.pat	448905	1610861	70252	15792	52548	5	EAS	2198357
HG00512.pat	196201	942744	43781	7820	50526	5	EAS	1241071
HG00513.mat	378904	1250679	77389	18840	33900	5	EAS	1759711
HG00673.pat	526255	1994888	130330	27864	39488	2	EAS	2718824
HG00731.mat	455564	1537485	142570	10021	53487	5	AMR	2199126
HG00731.pat	498310	1363341	235365	11724	22630	19	AMR	2131369
HG00732.mat	456489	1427356	278322	23319	23240	19	AMR	2208725
HG00732.pat	422761	1647597	64138	12067	49059	5	AMR	2195621
HG00735.mat	295027	1162231	151665	22915	43435	6	AMR	1675272
HG00735.pat	426513	1523299	35663	18846	114525	5	AMR	2118845
HG00741.mat	451570	1597261	71265	11217	50078	5	AMR	2181390
HG00864.mat	343332	1275814	41757	12241	64411	5	EAS	1737554
HG00864.pat	447527	1538854	68234	6803	52875	5	EAS	2114292
HG01071.mat	606487	1960407	42795	18843	158617	5	AMR	2787148
HG01099.mat	430871	1562664	73313	16987	53585	5	AMR	2137419
HG01106.mat	443929	1458559	250644	16327	28470	19	AMR	2197928
HG01106.pat	382597	1447761	65183	11205	31812	5	AMR	1938557
HG01109.mat	390699	1328047	156743	24435	30744	6	AMR	1930667
HG01109.pat	307231	1267597	153696	23937	43433	6	AMR	1795893
HG01114.pat	490778	1574086	262854	17689	27626	19	AMR	2373032
HG01175.mat	537227	1604560	416791	38198	36232	15	AMR	2633007
HG01175.pat	467157	1615635	101819	17325	59360	5	AMR	2261295
HG01258.pat	385352	1574067	133367	20398	27056	1	AMR	2140239
HG01352.mat	517478	1852900	71271	19030	59342	5	AMR	2520020
HG01352.pat	455785	1450258	429018	34127	34755	15	AMR	2403942
HG01457.mat	281049	1214601	104861	20374	43433	6	AMR	1664317
HG01457.pat	495011	1754277	94656	20903	53729	5	AMR	2418575
HG01505.mat	397613	1436993	38715	13252	56581	5	EUR	1943153
HG01505.pat	523538	1997612	109934	23786	44875	5	EUR	2699744
HG01573.mat	306174	1205047	157774	19859	43436	6	AMR	1732289
HG01573.pat	699626	1940317	224402	7990	59336	13	AMR	2931670
HG01596.pat	493328	1863686	117097	16492	31263	2	EAS	2521865
HG01890.mat	529586	1637416	314785	32607	50397	17	AFR	2564790
HG01890.pat	405784	1622314	85535	18850	51873	4	AFR	2184355
HG01891.mat	404793	1319182	104065	14795	22907	14	AFR	1865741
HG01978.mat	536749	1911209	75361	27168	58651	5	AMR	2609137
HG02004.mat	398998	1650231	135427	26341	23064	1	AMR	2234060
HG02004.pat	381329	1560514	125238	23804	24756	1	AMR	2115640
HG02011.mat	532692	1551693	322932	29216	34790	17	AFR	2471322
HG02011.pat	403595	2171442	44842	4753	50781	16	AFR	2675412
HG02018.pat	443322	1903662	122172	32480	40799	2	EAS	2542434
HG02055.pat	258197	1082024	41793	6115	66456	13	AFR	1454584
HG02059.mat	461768	1727718	114054	21263	38732	2	EAS	2363534
HG02059.pat	441688	1545606	227233	11388	26243	19	EAS	2252157
HG02109.mat	484840	1391405	315776	17492	40057	17	AFR	2249569
HG02145.pat	474604	1362706	304688	14779	32296	8	AFR	2189072
HG02282.mat	574022	1658579	294600	22771	26739	18	AFR	2576710
HG02282.pat	502771	1555099	301665	23631	29517	19	AFR	2412682
HG02293.mat	478278	1727720	90645	21570	56277	5	AMR	2374489
HG02293.pat	413525	1710722	132370	24149	30448	1	AMR	2311213
HG02300.mat	432615	1525252	64154	12918	48629	5	AMR	2083567
HG02300.pat	446783	1709410	76363	19034	53400	5	AMR	2304989
HG02486.mat	454867	1404186	237425	18516	30563	15	AFR	2145556
HG02492.mat	417026	1424685	87561	7815	45860	5	SAS	1982946
HG02492.pat	569175	2018551	121182	28022	26658	4	SAS	2763587
HG02554.mat	390797	1428753	90582	12071	51969	10	AFR	1974171
HG02554.pat	536139	1801227	106876	9516	39239	5	AFR	2492996
HG02559.mat	220823	923025	20390	5775	65343	9	AFR	1235355
HG02572.mat	220130	607642	12236	12754	21930	7	AFR	874691
HG02587.mat	469176	1646244	106898	9860	51396	10	AFR	2283573
HG02587.pat	553720	1638099	275162	20734	26077	18	AFR	2513791
HG02622.mat	292292	1041987	171152	8498	36869	8	AFR	1550797
HG02630.mat	312398	1056267	58052	12048	54070	10	AFR	1492834
HG02630.pat	428884	1565277	87756	6115	31695	14	AFR	2119726
