Haplotype	1-mer	3-mer	11-mer	12-mer	13-mer	15-mer	16-mer	17-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1.pat	86333	695052	412615	2038	3058283	214036	16297	17315	154915	37263	1	EUR	4694146
CHM13.pat	98310	609284	453650	4080	2659930	173273	8150	8653	108258	14246	1	EUR	4137833
CPC_P1_4.pat	17261	53750	70926	4073	402111	229255	309627	14419	48330	16838	2	EAS	1166589
HG00096.mat	91467	299621	421861	4076	1261299	124848	5432	5780	66424	22518	1	EUR	2303325
HG00096.pat	113345	498357	543280	8159	2133140	252225	16293	17311	125104	36102	1	EUR	3743315
HG00171.mat	88908	474851	436857	6113	2027031	201285	10865	11549	132988	35042	1	EUR	3425488
HG00171.pat	95413	284457	438710	2038	1199401	198738	19014	8661	121807	41569	1	EUR	2409807
HG002.mat	96262	485278	433096	2039	2139885	201286	10866	11547	129821	30329	1	EUR	3540408
HG002.pat	112148	644400	490911	6118	2801529	201298	13576	8653	108447	21394	1	EUR	4408473
HG00268.mat	109747	688126	524614	8159	2974068	262429	19008	17311	136359	54068	1	EUR	4793888
HG00268.pat	78990	390353	373372	2038	1653015	231893	21733	14430	144056	20042	1	EUR	2929921
HG00358.mat	101391	743834	464829	6117	3312870	382199	76062	57691	241883	45011	1	EUR	5431886
HG00358.pat	115395	661888	505872	10205	2914378	208925	10866	5769	141781	24927	1	EUR	4600005
HG00512.mat	81552	58323	322832	116006	1386870	308242	711564	8651	51394	24812	2	EAS	3070245
HG00513.mat	111476	514967	492780	2038	2241658	214027	13582	11541	110216	29113	1	EAS	3741397
HG00513.pat	75061	56792	289269	97690	1501474	341360	575762	8652	66850	362847	2	EAS	3375756
HG00731.mat	98650	654563	524691	8162	2892297	417855	27156	31731	199700	59619	1	AMR	4914423
HG00731.pat	67184	64336	270583	40720	1336374	277671	540456	11535	52227	16467	2	AMR	2677552
HG00732.mat	76583	56807	300444	34616	1076324	262387	461709	11535	51359	18835	2	AMR	2350598
HG00732.pat	76251	53793	298578	20361	525368	259840	499727	8651	35625	26926	2	AMR	1805119
HG00864.pat	80694	48754	313496	170950	2113753	338805	567615	8651	66170	24953	2	EAS	3733840
HG01114.mat	108912	397863	481608	12242	1710617	206395	13582	14422	151978	23051	1	AMR	3120669
HG01114.pat	40866	55789	167948	138405	1450743	249641	179258	8652	45812	25773	2	AMR	2362886
HG01258.mat	83259	84937	320983	44774	1059145	343959	1398700	11541	62081	17484	3	AMR	3426862
HG01352.mat	74035	57809	292995	18328	1144631	280225	532316	8651	57500	27684	2	AMR	2494173
HG01352.pat	48210	53771	182885	126183	1091676	252210	184685	5767	56953	34470	2	AMR	2036809
HG01457.mat	86855	542075	436883	4076	2370048	224215	10864	11549	121257	45130	1	AMR	3852951
HG01457.pat	97968	520873	403128	8158	2288186	155449	2715	2892	101376	18951	1	AMR	3599695
HG01505.mat	89242	570169	427521	2038	2489512	203856	10865	11541	127948	15103	1	EUR	3947794
