Haplotype	2-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1.pat	3470370	1022	178539	10	EUR	3649930
CHM13.pat	3738248	1533	188151	10	EUR	3927931
CPC_P1_31.pat	1860827	511	183742	9	EAS	2045079
CPC_P1_32.mat	7260688	3066	112539	14	EAS	7376292
CPC_P1_51.pat	2290185	1016	78229	15	EAS	2369429
CPC_P1_52.mat	3430251	0	184336	12	EAS	3614586
CPC_P1_52.pat	3651842	511	252804	9	EAS	3905156
CPC_P1_6.mat	2592879	0	182332	12	EAS	2775210
CPC_P1_6.pat	2752293	0	186408	12	EAS	2938700
HG00096.mat	3371548	509	228149	12	EUR	3600205
HG00096.pat	2966539	0	1151668	2	EUR	4118206
HG00171.mat	6315779	0	92151	1	EUR	6407929
HG00171.pat	3223589	1022	181802	10	EUR	3406412
HG002.mat	3186598	0	230019	12	EUR	3416616
HG002.pat	3807485	0	253762	13	EUR	4061246
HG00268.mat	3965444	0	319393	12	EUR	4284836
HG00268.pat	2209324	511	160066	9	EUR	2369900
HG00358.mat	2173292	511	156337	9	EUR	2330139
HG00358.pat	3686851	0	244721	13	EUR	3931571
HG00512.mat	2924196	0	235722	12	EAS	3159917
HG00512.pat	3796317	1022	198161	9	EAS	3995499
HG00513.mat	4479819	0	97649	14	EAS	4577467
HG00513.pat	3482284	0	250388	12	EAS	3732671
HG00621.mat	3316574	0	188546	12	EAS	3505119
HG00621.pat	3731077	511	159928	10	EAS	3891515
HG00673.mat	4372317	1521	273932	7	EAS	4647769
HG00673.pat	4193975	1014	307396	7	EAS	4502384
HG00731.mat	3700748	509	205024	12	AMR	3906280
HG00731.pat	4045457	1016	49711	15	AMR	4096183
HG00732.mat	3001902	0	1158315	2	AMR	4160216
HG00732.pat	6443299	1020	90653	1	AMR	6534971
HG00741.mat	3792758	0	173635	9	AMR	3966392
HG00741.pat	4295995	0	185751	10	AMR	4481745
HG00864.mat	6813423	3577	134981	14	EAS	6951980
HG00864.pat	3393822	511	227189	9	EAS	3621521
HG01071.mat	1876821	1022	144873	10	AMR	2022715
HG01099.mat	3436463	1533	160312	10	AMR	3598307
HG01099.pat	3886964	511	154937	9	AMR	4042411
HG01106.mat	3768783	0	242741	13	AMR	4011523
HG01109.pat	3564365	0	201129	12	AMR	3765493
HG01114.mat	3767165	0	144625	10	AMR	3911789
HG01114.pat	6534970	0	116569	1	AMR	6651538
HG01123.mat	2667223	0	1009347	2	AMR	3676569
HG01123.pat	3724254	0	223541	13	AMR	3947794
HG01243.mat	3383205	0	197218	13	AMR	3580422
HG01243.pat	2146281	0	182572	13	AMR	2328852
HG01352.mat	6575738	0	111468	1	AMR	6687205
HG01352.pat	3863530	0	239154	13	AMR	4102683
HG01361.pat	4906480	0	59772	1	AMR	4966251
HG01457.mat	3969399	511	187873	10	AMR	4157782
HG01457.pat	6635907	0	119325	1	AMR	6755231
HG01505.mat	3158466	0	210995	12	EUR	3369460
HG01505.pat	3048111	509	241279	13	EUR	3289898
HG01573.mat	3161532	0	196250	12	AMR	3357781
HG01573.pat	3393335	0	179719	12	AMR	3573053
HG01596.mat	3572937	1022	184404	10	EAS	3758362
HG01596.pat	3976466	511	225760	9	EAS	4202736
HG01890.mat	4933801	511	154356	9	AFR	5088667
HG01890.pat	3030763	507	192280	7	AFR	3223549
HG01891.mat	3079542	509	106393	15	AFR	3186443
HG01928.mat	3804450	0	70828	1	AMR	3875277
HG01952.mat	2824624	1525	77890	15	AMR	2904038
HG01978.pat	3023966	509	217846	13	AMR	3242320
HG02004.mat	2656374	0	62425	1	AMR	2718798
HG02011.mat	1851398	0	185392	4	AFR	2036789
HG02011.pat	5196482	511	299645	6	AFR	5496637
HG02018.mat	4919469	511	209615	10	EAS	5129594
HG02018.pat	6150362	3042	245319	7	EAS	6398722
HG02055.mat	4915689	511	480952	9	AFR	5397151
HG02059.mat	4439801	1014	315625	7	EAS	4756439
HG02059.pat	4938327	511	121423	14	EAS	5060260
HG02071.pat	3093763	0	226372	12	EAS	3320134
HG02080.mat	3868135	507	324121	7	EAS	4192762
HG02106.mat	4015163	0	196989	10	AMR	4212151
HG02106.pat	3406042	0	1122152	2	AMR	4528193
HG02109.mat	2839805	511	189713	11	AFR	3030028
HG02145.mat	4061565	0	217907	8	AFR	4279471
HG02257.mat	2512218	0	1025455	2	AFR	3537672
HG02257.pat	3349924	0	168810	5	AFR	3518733
HG02282.mat	3505954	0	175897	10	AFR	3681850
HG02282.pat	5244370	1022	90298	14	AFR	5335689
HG02300.pat	2990933	0	228756	12	AMR	3219688
HG02486.mat	2203558	511	166509	9	AFR	2370577
HG02492.mat	3209689	508	51396	15	SAS	3261592
HG02492.pat	4503234	0	52052	1	SAS	4555285
HG02554.mat	5242051	0	353319	6	AFR	5595369
HG02554.pat	3491698	2044	156827	9	AFR	3650568
HG02559.mat	4601073	1022	145198	9	AFR	4747292
HG02559.pat	5909160	1022	128639	14	AFR	6038820
HG02587.mat	3715697	0	176150	5	AFR	3891846
HG02587.pat	3402643	507	183346	7	AFR	3586495
HG02622.mat	2536379	0	857050	2	AFR	3393428
HG02622.pat	4837620	1517	333761	6	AFR	5172897
HG02630.mat	3465113	1521	201096	7	AFR	3667729
HG02630.pat	5409217	0	310136	3	AFR	5719352
HG02647.pat	2759975	511	136777	11	AFR	2897262
HG02666.mat	3886612	0	199634	3	AFR	4086245
HG02666.pat	2707964	1022	176999	11	AFR	2885984
HG02717.mat	3466949	508	68029	15	AFR	3535485
HG02723.mat	3602519	1022	236242	11	AFR	3839782
HG02769.mat	3350025	0	216957	3	AFR	3566981
HG02769.pat	3470375	1533	215550	11	AFR	3687457
HG02809.mat	3773146	511	200075	11	AFR	3973731
HG02809.pat	3367620	0	132666	5	AFR	3500285
HG02818.mat	3053321	511	217451	9	AFR	3271282
HG02818.pat	1724614	0	188090	4	AFR	1912703
HG02886.pat	3725785	0	550223	8	AFR	4276007
HG02953.mat	5557556	511	164201	9	AFR	5722267
HG02953.pat	2538449	511	132028	11	AFR	2670987
HG03009.mat	2893034	0	173068	12	SAS	3066101
HG03009.pat	3596222	0	1222768	2	SAS	4818989
HG03065.mat	3168166	0	1751439	8	AFR	4919604
HG03065.pat	2498307	0	994456	2	AFR	3492762
HG03098.pat	3939886	0	200315	3	AFR	4140200
HG03248.mat	2808683	0	1076031	2	AFR	3884713
HG03248.pat	3364834	0	262001	13	AFR	3626834
HG03371.mat	2580566	0	1278599	2	AFR	3859164
HG03371.pat	5827514	0	154778	3	AFR	5982291
HG03452.mat	5583361	0	56419	8	AFR	5639779
HG03452.pat	4155970	0	1315756	6	AFR	5471725
