Haplotype	4-mer	7-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1.pat	1159248	1233422	89919	45685	4	EUR	2528273
CHM13.pat	1202108	1295422	93838	37923	4	EUR	2629290
CPC_P1_16.mat	1343993	1371405	83787	35396	5	EAS	2834580
CPC_P1_16.pat	826783	1053457	45412	28392	1	EAS	1954043
CPC_P1_18.pat	1038837	986716	74780	37047	5	EAS	2137379
CPC_P1_21.mat	1270640	1266719	81583	30242	5	EAS	2649183
CPC_P1_23.pat	1372063	1605326	108678	19748	1	EAS	3105814
CPC_P1_26.pat	2063562	2239376	183074	45186	11	EAS	4531197
CPC_P1_28.mat	1956814	2117795	146961	50716	11	EAS	4272285
CPC_P1_29.mat	1427785	1657788	125242	45332	1	EAS	3256146
CPC_P1_30.mat	887965	976034	50908	35388	4	EAS	1950294
CPC_P1_32.mat	1028684	1275137	76261	34010	1	EAS	2414091
CPC_P1_38.pat	928749	1173852	72391	23825	1	EAS	2198816
CPC_P1_5.mat	1448134	1692230	103343	43396	11	EAS	3287102
CPC_P1_5.pat	876336	892498	62835	15033	5	EAS	1846701
CPC_P1_50.pat	1632457	1838835	145603	37865	11	EAS	3654759
CPC_P1_52.mat	1530442	1728003	137269	39618	11	EAS	3435331
CPC_P1_52.pat	1297304	1483768	93441	27383	1	EAS	2901895
CPC_P1_54.pat	1319746	1310975	91780	48509	4	EAS	2771009
CPC_P1_55.mat	1420350	1688718	95795	31609	1	EAS	3236471
CPC_P1_55.pat	1412855	1619587	111222	16317	1	EAS	3159980
CPC_P1_57.pat	2087997	2223827	169959	69119	11	EAS	4550901
CPC_P1_7.pat	1260458	1252386	74253	37655	5	EAS	2624751
CPC_P1_9.pat	3140612	3291787	335670	123552	11	EAS	6891620
HG00096.mat	1159921	1247807	50366	46930	6	EUR	2505023
HG00096.pat	1415603	1490947	61942	247605	6	EUR	3216096
HG00171.mat	438513	544566	27930	9920	4	EUR	1020928
HG00171.pat	1053878	1140455	90902	19645	4	EUR	2304879
HG002.mat	1079757	1165551	70680	37011	4	EUR	2352998
HG002.pat	1008993	1082074	75439	38608	4	EUR	2205113
HG00268.mat	2367530	2308596	103520	113468	6	EUR	4893113
HG00268.pat	851899	1016460	108479	48091	4	EUR	2024928
HG00358.mat	2097559	2314364	133868	64489	12	EUR	4610279
HG00358.pat	470467	583892	29801	11837	4	EUR	1095996
HG00438.mat	1947970	2078413	144455	41736	11	EAS	4212573
HG00438.pat	1393128	1646989	111920	37242	1	EAS	3189278
HG005.mat	1135425	1121382	98598	33000	5	EAS	2388404
HG00512.mat	1450294	1704262	91731	27899	1	EAS	3274185
HG00512.pat	1342827	1585054	89806	39292	1	EAS	3056978
HG00513.mat	1501942	1766213	109228	31145	1	EAS	3408527
HG00513.pat	1334003	1560004	87506	32754	1	EAS	3014266
HG00621.mat	994015	1103544	86497	35478	4	EAS	2219533
HG00673.mat	1196683	1217947	96376	27519	4	EAS	2538524
HG00673.pat	1349550	1360912	70859	20605	5	EAS	2801925
HG00731.mat	2018710	2002289	78488	92869	6	AMR	4192355
HG00731.pat	1943723	2195474	126374	23835	3	AMR	4289405
HG00735.mat	1195320	1345499	106751	40831	4	AMR	2688400
HG00735.pat	1200766	1276405	84625	38964	4	AMR	2600759
HG00741.mat	1174928	1244222	99947	36467	4	AMR	2555563
HG00864.mat	1223809	1471877	94811	22973	1	EAS	2813469
HG00864.pat	1463204	1669675	89049	37386	1	EAS	3259313
HG01071.pat	1123905	1210814	89728	36673	4	AMR	2461119
HG01099.mat	424238	562406	52300	31027	4	AMR	1069970
HG01099.pat	688745	753151	47177	24051	4	AMR	1513123
HG01106.mat	1252441	1334839	69804	44752	4	AMR	2701835
HG01106.pat	1112364	1197665	90396	21683	4	AMR	2422107
HG01114.mat	2339003	2197849	62996	95462	6	AMR	4695309
HG01114.pat	1293844	1251291	52807	48840	12	AMR	2646781
HG01123.mat	1018527	1103555	90092	35210	4	AMR	2247383
