Haplotype	10-mer	14-mer	16-mer	18-mer	20-mer	26-mer	22-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1.pat	5082	52293	1843449	107122	40809	13248	0	199052	49538	1	EUR	2310592
CHM13.pat	10177	66561	1783626	149967	20408	4415	7476	86276	44896	1	EUR	2173801
CPC_P1_16.pat	13584	149753	3216506	42849	10191	75136	29904	450298	22466	7	EAS	4010686
CPC_P1_18.mat	1701	35655	758571	6122	20370	128139	3737	64079	45126	8	EAS	1063499
CPC_P1_23.pat	18687	102214	2294780	55084	23796	269569	18692	977076	21618	7	EAS	3781515
CPC_P1_28.pat	33967	142621	2860300	58160	30598	282844	37387	1052525	29099	7	EAS	4527500
CPC_P1_30.mat	20388	102215	2327400	55084	20400	251893	22429	956162	24849	7	EAS	3780819
CPC_P1_32.mat	1698	19022	1125541	15288	10200	101617	11217	57603	50100	8	EAS	1392285
CPC_P1_33.mat	13602	40424	1095594	67332	40806	123739	7472	110149	7480	2	EAS	1506597
CPC_P1_52.pat	20374	109377	1878737	55077	6799	176771	11218	785760	34576	7	EAS	3078688
CPC_P1_54.pat	27196	178276	2009112	220367	132586	309338	3739	173359	19512	2	EAS	3073484
HG00096.mat	17008	161620	1753622	296905	57802	282787	0	130193	12580	2	EUR	2712516
HG00096.pat	11892	66560	2041911	21418	13600	256329	7475	821139	16176	7	EUR	3256499
HG00171.mat	13576	59424	1954906	159155	30613	8835	3739	90349	44256	1	EUR	2364852
HG00171.pat	1701	54692	2601874	24475	6796	225343	14958	205119	31794	8	EUR	3166751
HG002.mat	5082	52293	1843448	110182	40809	13248	0	199052	49539	1	EUR	2313652
HG002.pat	3402	49923	2183203	64276	23773	260688	7480	183402	60087	8	EUR	2836233
HG00268.mat	6804	61808	2797619	42850	27160	287185	7477	201411	59547	8	EUR	3491860
HG00268.pat	15291	99831	2275750	67357	17002	79555	22426	436320	31310	7	EUR	3044841
HG00358.mat	10191	66560	655208	27543	13612	13256	14955	23624	9535	7	EUR	834483
