Haplotype	7-mer	8-mer	11-mer	10-mer	Other HOR	Non HOR	Cluster	Population	Contig_len
CHM1.pat	636114	728155	1158251	0	54827	30239	2	EUR	2607585
CHM13.pat	768238	789151	487636	0	20936	41940	1	EUR	2107900
CPC_P1_1.pat	818337	878643	560477	3412	36911	39813	1	EAS	2337592
CPC_P1_13.pat	661005	947728	891015	0	138449	36852	4	EAS	2675048
CPC_P1_18.mat	578590	797295	465196	0	30612	40864	1	EAS	1912556
CPC_P1_20.pat	776570	842018	508195	1694	35395	38017	1	EAS	2201888
CPC_P1_21.mat	827871	846098	493218	3412	25352	40800	1	EAS	2236750
CPC_P1_25.mat	911399	869170	448408	3412	30291	34742	1	EAS	2297421
CPC_P1_25.pat	1021135	972211	459598	5118	29781	38706	1	EAS	2526548
CPC_P1_28.pat	723040	984337	1423337	0	240494	37587	4	EAS	3408794
CPC_P1_29.mat	1011611	1010176	646434	1706	27212	53375	1	EAS	2750513
CPC_P1_29.pat	409195	734920	427863	0	16834	42676	1	EAS	1631487
CPC_P1_32.pat	821921	875946	429729	8512	16481	36724	1	EAS	2189312
CPC_P1_33.pat	716960	827114	437202	0	32339	38016	1	EAS	2051630
CPC_P1_35.pat	503494	744320	915314	0	124190	36853	4	EAS	2324170
CPC_P1_38.mat	597626	444744	452150	1706	20408	45544	1	EAS	1562177
CPC_P1_4.mat	520172	814863	997492	0	113323	35058	4	EAS	2480907
CPC_P1_4.pat	349566	531492	765911	0	86354	36852	4	EAS	1770174
CPC_P1_5.mat	87083	103049	242903	0	676	39052	1	EAS	472762
CPC_P1_51.mat	53678	69151	229827	0	1019	39053	1	EAS	392727
CPC_P1_52.mat	489170	726704	945197	0	125203	36860	4	EAS	2323133
CPC_P1_52.pat	874377	809499	409169	3412	26520	36723	1	EAS	2159699
CPC_P1_53.mat	814753	837949	480176	0	25519	36036	1	EAS	2194432
CPC_P1_53.pat	337637	561357	381140	0	14098	37861	1	EAS	1332092
CPC_P1_54.mat	1030658	820362	584770	6824	29256	38535	1	EAS	2510404
CPC_P1_55.pat	606068	882718	932136	0	140983	38655	4	EAS	2600559
CPC_P1_57.mat	805230	776952	603457	1706	24668	44328	1	EAS	2256340
CPC_P1_6.mat	194459	216946	439077	0	2883	40346	1	EAS	893710
CPC_P1_7.pat	770625	805413	470833	1706	24998	38016	1	EAS	2111590
CPC_P1_8.pat	775399	756613	622147	1706	28935	40650	1	EAS	2225449
CPC_P1_9.mat	936444	880012	401679	5105	23139	34742	1	EAS	2281120
CPC_P1_9.pat	802841	793214	478297	1706	20575	36205	1	EAS	2132837
HG00096.mat	850560	875944	558643	5118	25341	45719	1	EUR	2361324
HG00096.pat	689570	1143009	1027348	0	144325	35058	4	EUR	3039309
HG00171.mat	771755	611526	773496	1706	20218	40863	1	EUR	2219563
HG00171.pat	862490	892221	581067	3412	23455	45354	1	EUR	2407998
HG002.mat	738743	839317	1165737	1693	61296	30239	2	EUR	2837024
HG002.pat	677780	798640	1120885	0	63152	30581	2	EUR	2691037
HG00268.mat	848150	813559	536207	1706	21433	40737	1	EUR	2261791
HG00268.pat	768246	816260	663277	3412	17839	40863	1	EUR	2309896
HG00358.mat	863657	824422	496985	3412	24313	41763	1	EUR	2254551
HG00358.pat	579782	961271	904111	0	135842	36852	4	EUR	2617857
HG00438.mat	526159	772813	1003116	3384	126065	38892	4	EAS	2470428
HG00438.pat	363955	484033	833187	0	56328	33299	2	EAS	1770801
HG005.mat	559459	421694	457747	3403	20072	44828	1	EAS	1507202
HG00512.mat	1048538	897650	582965	0	31820	101416	1	EAS	2662388
HG00513.mat	976973	709155	556756	10228	23139	37713	1	EAS	2313963
HG00513.pat	583316	455593	440916	5092	29080	40516	1	EAS	1554512
HG00621.mat	928101	827132	491373	3412	30283	34743	1	EAS	2315043
HG00731.mat	887530	858309	524999	1706	20916	34745	1	AMR	2328204
HG00731.pat	804021	805435	463349	3412	14960	40751	1	AMR	2131927
HG00732.mat	784961	741703	465212	1706	25010	40129	1	AMR	2058720
HG00732.pat	917330	818992	642695	0	27056	45946	1	AMR	2452018
HG00735.pat	885134	809511	468944	3412	16659	43193	1	AMR	2226852
HG00741.mat	863667	837981	603483	5118	21928	38051	1	AMR	2370227
HG00741.pat	1327890	1979590	1744817	1694	40252	51992	6	AMR	5146234
HG00864.mat	530934	806711	1027399	3384	130813	38893	4	EAS	2538133
HG00864.pat	607177	452879	472699	1706	20408	52897	1	EAS	1607765
HG01071.pat	622775	1075181	941443	0	123446	38210	4	AMR	2801054
HG01099.pat	414015	637230	842461	0	105173	37048	4	AMR	2035926
HG01106.mat	737252	675257	450280	0	28925	36035	1	AMR	1927748
HG01114.mat	905438	756618	388620	3412	29413	36554	1	AMR	2120054
HG01114.pat	713354	429851	511902	3412	18198	42582	4	AMR	1719298
HG01123.pat	445052	652100	1025512	0	149603	36553	4	AMR	2308819
HG01243.mat	755303	1005183	545435	93105	65823	48402	3	AMR	2513250
HG01243.pat	809993	885444	491341	1706	22966	38535	1	AMR	2249984
HG01352.mat	695709	827090	948985	0	43939	1872	2	AMR	2517594
HG01352.pat	879152	772891	620283	0	27055	45943	1	AMR	2345323
HG01358.mat	241025	296936	874307	0	39891	30587	2	AMR	1482745
HG01457.mat	542892	794440	982549	1693	162157	36556	4	AMR	2520286
HG01457.pat	704992	699668	422243	1706	29090	34744	1	AMR	1892442
HG01505.mat	530961	801225	1068486	0	159603	36553	4	EUR	2596827
HG01505.pat	808802	726787	534367	1706	25689	42749	1	EUR	2140099
HG01573.mat	691980	983049	1014335	1697	140984	38032	4	AMR	2870076
HG01573.pat	689733	821676	950863	0	41232	3217	2	AMR	2506720
HG01596.mat	490364	734853	870488	0	116565	36854	4	EAS	2249123
HG01596.pat	941213	867803	457733	6824	25013	39401	1	EAS	2337986
HG01890.mat	366360	431151	911579	0	59046	30581	2	AFR	1798716
HG01890.pat	571501	799941	851797	3385	116866	36931	4	AFR	2380420
HG01891.mat	448567	836541	1018021	3389	109712	35042	4	AFR	2451271
HG01928.mat	490360	751107	844350	0	107385	35042	4	AMR	2228243
HG01978.mat	496356	742940	1036721	0	156211	33264	4	AMR	2465491
HG02004.mat	788521	798660	485750	3412	23475	38535	1	AMR	2138352
HG02004.pat	786122	767472	534360	8493	22107	38535	1	AMR	2157088
HG02011.mat	355564	310440	422067	76185	50424	27371	7	AFR	1242050
HG02011.pat	1001175	1130826	1006960	1693	46150	31949	2	AFR	3218752
HG02018.mat	529709	775544	661262	0	97220	38695	4	EAS	2102429
HG02018.pat	1041392	1111882	560492	3412	32450	41846	1	EAS	2791473
HG02055.pat	338845	527391	846233	1693	90549	34591	4	AFR	1839301
HG02059.mat	511921	600674	952763	0	83007	41325	2	EAS	2189689
HG02059.pat	752884	1018232	1169318	0	219815	35778	4	EAS	3196026
HG02071.mat	870824	730851	693165	3408	23146	47854	1	EAS	2369247
HG02106.mat	747031	882688	941542	0	51072	1872	2	AMR	2624204
HG02106.pat	999631	989859	519384	3403	32814	48782	1	AMR	2593872
HG02109.mat	796850	770160	461473	0	31481	36207	1	AFR	2096170
HG02109.pat	586988	565075	1010517	98194	143337	31453	3	AFR	2435563
HG02282.mat	530881	913776	898514	0	122946	35059	4	AFR	2501175
HG02282.pat	628908	757940	700613	0	37855	33065	2	AFR	2158380
HG02300.mat	479620	710460	924664	0	115522	36858	4	AMR	2267123
HG02492.mat	640614	816294	523145	1706	15470	39056	1	SAS	2036284
HG02492.pat	634707	919290	922798	6772	101463	36852	4	SAS	2621881
