Haplotype	Cluster
CHM13.pat	1
HG02004.pat	1
HG00731.pat	1
HG01952.pat	1
HG01596.mat	1
HG02071.pat	1
HG03732.mat	1
HG00864.pat	1
HG02148.mat	1
HG02106.mat	1
HG02293.mat	1
HG02953.mat	1
NA21309.mat	1
HG01352.mat	1
HG01457.pat	1
HG00358.pat	1
HG04036.pat	1
NA19650.mat	1
NA19347.pat	1
HG02282.mat	1
NA20847.mat	1
HG01123.mat	2
HG03516.pat	2
HG02011.mat	2
HG03065.pat	2
HG02809.mat	2
HG03065.mat	2
NA19036.pat	2
HG02011.pat	2
HG03520.mat	2
NA19239.pat	2
NA19705.mat	2
NA19983.pat	2
NA19317.mat	2
NA19384.pat	2
HG02809.pat	2
HG03098.mat	2
HG03486.mat	2
HG03456.mat	2
NA19239.mat	2
NA21309.pat	2
HG02300.mat	2
HG02492.mat	2
HG03927.pat	2
HG02018.pat	2
NA18989.pat	2
HG00171.pat	3
NA20509.mat	3
CHM1.pat	3
HG00732.mat	3
HG02059.mat	3
HG03492.mat	3
HG03371.mat	3
NA19129.mat	3
NA21487.pat	3
HG00621.mat	4
HG01457.mat	4
HG002.pat	4
HG01352.pat	4
HG03009.mat	4
NA20847.pat	4
HG00731.mat	4
HG02554.pat	4
HG02071.mat	4
NA18534.mat	4
HG00732.pat	4
NA20509.pat	4
HG00358.mat	4
HG01505.mat	4
HG02059.pat	4
HG03807.mat	4
HG00673.pat	4
HG03807.pat	4
NA18534.pat	4
HG03683.mat	4
HG03732.pat	4
HG02004.mat	4
HG04217.pat	4
HG01071.mat	4
HG01596.pat	4
HG04217.mat	4
HG04036.mat	4
NA19836.pat	4
HG01505.pat	4
HG03683.pat	4
NA19331.pat	5
HG03452.mat	5
HG03516.mat	5
HG00741.mat	5
HG02666.pat	5
HG03248.pat	5
NA19705.pat	5
HG00735.pat	5
HG03520.pat	5
HG03371.pat	5
NA19238.mat	5
HG02282.pat	5
HG01099.mat	5
HG02615.mat	5
HG03540.pat	5
HG03486.pat	5
NA20355.pat	5
NA19036.mat	5
NA19129.pat	5
HG02554.mat	5
NA21487.mat	5
HG02953.pat	5
HG01890.pat	5
NA19347.mat	5
HG02257.pat	5
HG02647.mat	5
HG03456.pat	5
HG01890.mat	5
HG01891.pat	5
HG01071.pat	5
NA19238.pat	5
HG02622.pat	5
HG03098.pat	5
HG02572.mat	5
NA19384.mat	5
HG01175.pat	6
HG00268.pat	6
HG01114.pat	6
NA19650.pat	6
HG00096.mat	6
HG00096.pat	6
HG01106.mat	6
HG002.mat	6
HG00171.mat	6
NA20129.mat	6
HG03579.mat	6
NA20355.mat	6
HG03009.pat	6
NA18939.pat	6
HG02886.mat	6
HG01978.pat	6
HG02615.pat	6
NA19317.pat	6
HG01123.pat	6
HG01952.mat	6
HG00438.mat	6
NA18989.mat	6
HG02717.mat	6
HG02769.mat	6
HG01891.mat	6
HG03248.mat	6
HG01106.pat	6
NA19983.mat	6
HG03540.mat	6
HG02587.mat	6
HG02769.pat	6
